Gender,Age,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Response
Male,28,1,< 1 Year,No,28885.0,0
Female,24,1,< 1 Year,No,25093.0,0
Male,47,0,1-2 Year,Yes,2630.0,0
Male,29,0,< 1 Year,Yes,46835.0,0
Male,68,1,1-2 Year,No,26908.0,0
Male,41,1,1-2 Year,No,2630.0,0
Male,31,1,< 1 Year,No,2630.0,0
Male,54,0,1-2 Year,No,2630.0,0
Female,24,1,< 1 Year,No,38327.0,0
Male,25,1,< 1 Year,No,28051.0,0
Female,49,1,1-2 Year,Yes,43386.0,0
Male,27,1,< 1 Year,No,29935.0,0
Male,77,0,> 2 Years,Yes,50399.0,0
Female,22,1,< 1 Year,No,28848.0,0
Male,64,1,1-2 Year,No,2630.0,0
Male,46,1,1-2 Year,No,31333.0,0
Male,35,0,1-2 Year,Yes,2630.0,0
Female,42,0,1-2 Year,Yes,2630.0,1
Male,23,1,< 1 Year,No,52263.0,0
Male,48,0,1-2 Year,No,32979.0,0
Male,22,1,< 1 Year,No,33144.0,0
Female,46,0,1-2 Year,Yes,51414.0,0
Female,61,1,1-2 Year,No,37509.0,0
Male,23,0,< 1 Year,Yes,38815.0,0
Female,24,1,< 1 Year,No,27623.0,0
Male,51,0,1-2 Year,Yes,28088.0,0
Male,43,0,1-2 Year,Yes,2630.0,1
Male,24,1,< 1 Year,No,2630.0,0
Male,24,1,< 1 Year,No,26017.0,0
Male,62,1,1-2 Year,No,38913.0,0
Male,58,0,> 2 Years,Yes,46647.0,1
Female,24,1,< 1 Year,No,36973.0,0
Male,22,1,< 1 Year,No,27810.0,0
Male,58,0,1-2 Year,Yes,51993.0,1
Female,33,0,< 1 Year,Yes,57406.0,1
Female,40,0,1-2 Year,Yes,24204.0,1
Female,34,0,1-2 Year,Yes,28488.0,1
Male,71,1,1-2 Year,No,38831.0,0
Male,24,1,< 1 Year,No,37681.0,0
Male,78,1,1-2 Year,No,29388.0,0
Female,21,1,< 1 Year,No,23448.0,0
Female,56,1,1-2 Year,No,46613.0,0
Male,71,1,1-2 Year,No,21170.0,0
Male,24,1,< 1 Year,No,38240.0,0
Male,22,0,< 1 Year,Yes,51324.0,0
Female,24,1,< 1 Year,No,31027.0,0
Female,31,0,< 1 Year,Yes,16127.0,0
Male,27,1,< 1 Year,No,37114.0,0
Male,41,0,1-2 Year,Yes,44377.0,1
Male,29,0,< 1 Year,Yes,31582.0,0
Female,29,1,< 1 Year,No,23898.0,0
Female,27,1,< 1 Year,No,26639.0,0
Male,41,0,1-2 Year,Yes,46285.0,1
Male,24,0,< 1 Year,Yes,42727.0,0
Male,22,0,< 1 Year,Yes,56437.0,0
Male,30,1,< 1 Year,No,27261.0,0
Male,21,1,< 1 Year,No,29419.0,0
Male,21,0,< 1 Year,Yes,36866.0,0
Female,24,1,< 1 Year,No,48110.0,0
Male,52,0,1-2 Year,Yes,50883.0,0
Male,24,1,< 1 Year,No,57197.0,0
Female,57,1,1-2 Year,No,36978.0,0
Male,58,1,1-2 Year,No,34913.0,0
Female,24,1,< 1 Year,No,33229.0,0
Female,47,0,1-2 Year,Yes,21420.0,1
Male,51,0,1-2 Year,Yes,33003.0,0
Male,24,1,< 1 Year,No,26992.0,0
Female,22,1,< 1 Year,No,32279.0,0
Female,65,1,1-2 Year,No,28125.0,0
Male,35,0,1-2 Year,Yes,2630.0,0
Male,44,1,1-2 Year,No,35712.0,0
Male,42,0,1-2 Year,Yes,45325.0,1
Female,25,1,< 1 Year,No,38115.0,0
Male,41,0,1-2 Year,Yes,2630.0,0
Male,34,0,< 1 Year,Yes,31161.0,1
Female,55,1,1-2 Year,No,27040.0,0
Male,56,0,1-2 Year,Yes,34648.0,0
Female,48,0,1-2 Year,Yes,39335.0,0
Female,33,0,< 1 Year,Yes,27235.0,1
Female,20,0,< 1 Year,Yes,57424.0,1
Female,25,1,< 1 Year,No,35655.0,0
Male,30,0,1-2 Year,No,33838.0,0
Female,24,1,< 1 Year,No,29731.0,0
Male,49,1,1-2 Year,No,24711.0,0
Female,30,0,< 1 Year,Yes,2630.0,0
Male,24,1,< 1 Year,No,39319.0,0
Male,44,0,1-2 Year,Yes,57181.0,1
Male,64,1,1-2 Year,No,39713.0,0
Male,76,0,1-2 Year,Yes,25399.0,0
Male,27,1,< 1 Year,No,37962.0,0
Male,57,1,1-2 Year,No,46342.0,0
Male,77,0,1-2 Year,No,46004.0,0
Male,25,0,1-2 Year,Yes,26742.0,0
